1 10 0 0
2 14 4 0
3 22 2 0
4 67 17 0
5 95 65 0
6 148 88 0
7 192 142 0
8 286 186 0
9 323 283 0
10 328 318 0
11 383 323 0
12 415 375 0
13 452 412 0
14 468 448 0
15 475 465 0
16 558 468 0
17 573 553 0
18 619 569 0
19 638 608 0
20 666 636 0
21 682 662 0
22 694 674 0
23 710 690 0
24 725 705 0
25 762 722 0
26 796 756 0
27 809 789 0
28 827 807 0
29 893 823 0
30 907 887 0
31 952 902 0
32 960 950 0
33 987 957 0
34 1023 983 0
35 1024 1014 0
36 1046 1016 0
37 1061 1041 0
38 1096 1056 0
39 1117 1087 0
40 1129 1109 0
41 1153 1123 0
42 1168 1148 0
43 1174 1164 0
44 1190 1170 0
45 1206 1186 0
46 1212 1202 0
47 1225 1205 0
48 1238 1218 0
49 1247 1237 0
50 1264 1244 0
