1 10 0 0
2 14 4 0
3 22 2 0
10 11 1 0
5 56 26 1
15 16 6 0
14 39 19 0
17 44 24 0
21 43 23 0
32 11 1 0
22 66 46 1
35 16 6 0
23 92 72 0
24 107 87 0
43 16 6 0
46 14 4 0
49 11 1 0
27 142 122 1
28 160 140 0
30 170 150 0
37 154 134 0
40 152 132 0
42 161 141 0
44 173 153 0
45 189 169 0
47 198 178 0
48 211 191 0
50 227 207 0
19 411 381 0
20 439 409 0
33 410 380 0
36 419 389 0
39 430 400 0
41 446 416 0
9 656 616 0
12 678 638 0
13 715 675 0
25 695 655 0
26 729 689 0
34 736 696 0
38 749 709 0
4 970 920 0
7 1005 955 0
18 1002 952 0
31 985 935 0
6 1171 1111 0
11 1206 1146 0
29 1186 1116 0
16 1341 1251 0
8 1479 1379 0
